player_name,birthday,bmi,date,overall_rating,potential,preferred_foot,long_shots,attack,skill,movement,power,mentality,defend,goal_keep
Adam Campbell,1995-01-01,25.22,2016-01-14,59.0,69.0,right,54.0,54.6,48.2,77.8,59.0,43.8,17.7,11.6
Adam Collin,1984-12-09,21.5,2016-06-09,66.0,66.0,right,19.0,22.0,21.6,44.0,38.0,26.6,18.3,64.6
Adam Deja,1993-06-24,23.88,2016-04-21,62.0,69.0,right,40.0,49.8,53.8,61.2,62.6,54.8,56.7,11.2
Adam Dzwigala,1995-09-25,23.22,2016-05-05,60.0,68.0,right,56.0,46.8,51.0,63.2,67.4,55.0,62.0,11.2
Adam Fraczczak,1987-08-07,22.78,2016-04-28,68.0,68.0,right,62.0,63.2,63.0,74.0,74.4,70.8,65.0,10.0
Adam Gyurcso,1991-03-06,18.41,2016-04-14,69.0,73.0,right,59.0,65.6,63.4,73.0,61.2,60.0,17.7,9.2
Adam Henley,1994-06-14,24.39,2016-06-16,66.0,76.0,right,29.0,50.6,53.4,73.4,50.4,53.8,64.7,10.4
Adam Hlousek,1988-12-20,21.57,2016-02-04,69.0,69.0,left,60.0,63.6,70.2,69.0,69.6,64.8,68.7,10.6
Adam King,1995-10-11,23.01,2016-03-10,57.0,69.0,right,47.0,47.8,52.4,67.0,58.4,51.8,46.0,11.0
Adam Kokoszka,1986-10-06,23.24,2016-03-10,67.0,67.0,right,28.0,43.8,39.4,63.4,61.6,54.8,65.3,11.0
Adam Lallana,1988-05-10,24.48,2016-05-12,80.0,80.0,right,72.0,73.8,76.8,76.0,72.6,67.2,40.0,10.8
Adam Le Fondre,1986-12-02,23.78,2016-06-09,70.0,70.0,right,62.0,66.4,60.6,74.0,66.6,60.0,18.0,8.6
Adam Maher,1993-07-20,21.12,2016-03-17,74.0,80.0,right,70.0,69.0,76.0,75.2,62.0,63.6,51.0,9.6
Adam Marusic,1992-10-17,25.68,2016-05-05,69.0,73.0,right,71.0,63.0,62.8,70.0,72.2,63.4,49.0,8.8
Adam Masina,1994-01-02,22.08,2016-04-21,73.0,78.0,left,31.0,52.6,59.0,66.2,57.2,55.0,71.0,10.8
Adam Matthews,1992-01-13,22.53,2016-06-09,73.0,77.0,right,62.0,57.6,66.6,75.8,69.4,64.2,74.0,10.6
Adam Mojta,1986-06-30,22.1,2016-05-12,66.0,66.0,left,52.0,59.0,54.8,69.0,63.2,60.4,64.7,11.6
Adam Ounas,1996-11-11,21.44,2016-04-28,69.0,84.0,left,66.0,61.8,67.8,76.8,58.6,55.8,48.3,8.2
Adam Pazio,1992-09-27,21.56,2016-03-03,64.0,68.0,right,51.0,52.6,54.2,69.8,59.4,49.4,65.0,12.6
Adam Pinter,1988-06-12,23.12,2016-06-16,72.0,72.0,right,35.0,52.6,52.4,47.8,64.4,64.8,66.3,10.8
Adam Rooney,1988-04-21,24.68,2016-03-10,71.0,71.0,right,64.0,64.6,55.0,65.8,72.4,56.8,22.7,10.6
Adam Szalai,1987-12-09,24.47,2016-03-10,74.0,74.0,right,61.0,68.2,58.2,62.8,72.0,66.2,27.0,11.4
Adam Taggart,1993-06-02,20.61,2016-01-28,66.0,74.0,right,71.0,59.2,59.6,74.2,65.8,58.4,30.7,13.0
Adama Francois,1989-11-30,21.42,2016-04-21,67.0,69.0,right,40.0,51.6,43.8,45.4,61.0,53.6,64.3,8.4
Adama Soumaoro,1992-06-18,26.32,2016-02-11,68.0,74.0,right,34.0,51.2,42.6,52.2,61.4,43.8,68.0,10.8
Adama Traore,1990-02-03,25.22,2016-05-12,74.0,76.0,left,62.0,62.8,59.6,79.8,73.0,64.0,72.7,11.0
Adel Taarabt,1989-05-24,23.99,2016-05-12,75.0,76.0,right,75.0,65.8,76.8,73.8,63.0,63.4,28.7,4.8
Adem Ljajic,1991-09-29,22.11,2016-05-12,79.0,82.0,right,81.0,69.6,77.8,78.2,71.4,61.6,31.0,9.0
Aderlan Santos,1989-04-09,22.28,2016-04-14,80.0,81.0,right,73.0,52.2,57.2,51.6,72.8,56.6,82.0,11.2
Aderlan,1990-08-18,22.53,2016-03-17,67.0,71.0,right,70.0,55.4,64.2,74.8,69.8,55.8,64.7,10.6
Adil Auassar,1986-10-06,24.01,2016-03-03,66.0,66.0,left,72.0,53.2,63.0,52.2,77.2,60.2,62.7,10.6
Adil Hermach,1986-06-27,20.89,2016-01-07,71.0,71.0,right,73.0,60.0,69.4,69.4,76.8,70.0,63.3,11.2
Adis Jahovic,1987-03-18,24.75,2016-04-07,69.0,69.0,right,68.0,60.2,49.8,55.8,67.2,53.2,20.0,11.2
Adlene Guedioura,1985-11-12,25.68,2016-05-12,70.0,70.0,right,75.0,65.4,60.8,67.6,78.6,65.8,64.3,11.8
Admir Mehmedi,1991-03-16,23.87,2016-04-14,77.0,80.0,right,74.0,69.6,72.2,78.2,73.0,66.0,35.0,13.2
Adnan Januzaj,1995-02-05,22.38,2016-01-14,75.0,84.0,left,67.0,60.6,74.6,76.0,59.4,51.2,21.3,11.0
Adnane Tighadouini,1992-11-30,22.81,2016-05-12,74.0,79.0,right,82.0,67.8,73.4,76.2,74.4,60.0,30.3,9.6
Adrian Blad,1991-04-16,22.8,2016-04-28,62.0,65.0,right,62.0,52.2,54.0,83.8,62.8,61.4,42.0,11.6
Adrian Colunga,1984-11-17,23.42,2016-04-14,70.0,70.0,right,67.0,64.2,68.8,77.4,66.4,58.6,14.7,8.6
Adrian Daniel Calello,1987-05-14,25.97,2016-05-12,61.0,61.0,right,45.0,42.8,56.2,61.0,57.6,55.8,59.7,11.2
Adrian Embarba,1992-05-07,22.2,2016-05-12,73.0,79.0,right,68.0,64.8,67.2,75.0,62.4,61.2,50.0,10.0
Adrian Gonzalez,1988-05-25,22.78,2016-05-26,73.0,73.0,left,64.0,61.8,75.8,68.4,62.0,68.8,69.7,9.2
Adrian Lopez,1988-01-08,21.84,2016-05-12,77.0,77.0,right,69.0,70.4,71.2,75.8,70.4,62.2,18.7,12.0
Adrian Marin,1997-01-09,22.45,2016-05-12,72.0,82.0,left,42.0,57.6,59.4,70.6,60.0,55.8,73.0,10.6
Adrian Nikci,1989-11-10,22.78,2016-04-21,66.0,66.0,right,60.0,60.2,63.4,73.6,61.6,52.8,30.3,9.0
Adrian Rakowski,1990-10-07,21.48,2016-03-24,63.0,67.0,right,48.0,51.8,58.8,71.6,62.0,59.8,51.7,8.2
Adrian Ramos,1986-01-22,21.77,2016-05-05,78.0,78.0,right,64.0,75.4,64.0,77.2,76.4,63.4,28.0,11.2
Adrian Ricardo Centurion,1993-01-19,21.12,2016-03-24,72.0,77.0,right,64.0,63.0,70.8,82.8,63.0,57.8,41.7,7.8
Adrian Stoian,1991-02-11,20.95,2016-02-04,70.0,74.0,right,70.0,64.4,72.0,76.6,63.6,54.4,30.0,9.0
Adrian,1987-01-31,21.83,2016-04-07,78.0,78.0,right,20.0,15.2,19.8,52.0,48.2,30.2,15.7,77.4
Adrien Hunou,1994-01-19,20.23,2016-04-14,65.0,73.0,right,59.0,63.2,67.6,72.8,62.8,63.0,49.7,8.8
Adrien Rabiot,1995-04-03,20.16,2016-01-14,77.0,84.0,left,76.0,71.0,71.4,65.8,75.4,72.4,65.7,10.4
Adrien Regattin,1991-08-22,23.56,2016-04-28,77.0,82.0,right,80.0,70.0,77.6,80.4,73.6,71.6,59.7,10.8
Adrien Silva,1989-03-15,22.45,2016-04-07,80.0,81.0,right,82.0,73.6,80.2,64.2,70.6,79.4,65.7,9.2
Adrien Thomasson,1993-12-10,22.81,2016-04-28,73.0,80.0,right,71.0,64.4,69.0,76.8,70.8,67.6,56.3,12.0
Adrien Trebel,1991-03-03,24.18,2016-03-24,74.0,76.0,left,72.0,59.2,72.0,78.6,72.0,68.2,63.0,12.2
Adryan,1994-08-10,23.18,2016-05-05,71.0,81.0,right,63.0,58.6,71.2,75.0,59.6,56.8,24.7,5.0
Afriyie Acquah,1992-01-05,22.1,2016-05-12,73.0,78.0,right,65.0,60.4,65.8,80.2,77.6,70.2,67.3,7.8
Ager Aketxe,1993-12-30,22.45,2016-04-28,73.0,81.0,left,76.0,68.0,77.0,71.8,67.6,62.2,43.0,12.8
Agon Mehmeti,1989-11-20,23.6,2016-04-28,64.0,65.0,right,58.0,59.8,49.0,63.0,67.4,55.8,20.7,9.4
Agustin Vuletich,1991-11-03,22.96,2016-01-28,65.0,70.0,right,60.0,54.6,49.4,57.4,67.4,56.4,24.0,11.2
Ahmed El Messaoudi,1995-08-03,23.33,2016-03-24,64.0,74.0,right,29.0,43.8,48.2,61.2,55.8,52.4,64.0,9.0
Ahmed El Mohamady,1987-09-09,23.33,2016-02-04,74.0,74.0,right,67.0,70.2,72.0,73.0,75.2,64.6,68.0,9.4
Ahmed Hegazy,1991-01-25,21.7,2016-01-28,65.0,69.0,right,15.0,35.2,36.8,40.4,46.2,38.8,72.0,10.2
Ahmed Kashi,1988-11-18,24.11,2016-04-21,70.0,70.0,right,59.0,42.6,58.0,66.6,68.4,60.8,70.7,11.2
Ahmed Musa,1992-10-14,24.53,2016-05-05,76.0,82.0,right,73.0,70.4,64.6,88.4,73.8,54.2,24.0,12.2
Aidan Nesbitt,1997-02-05,21.12,2016-06-09,53.0,69.0,right,43.0,45.0,54.2,61.0,43.4,43.4,38.0,11.2
Aiden McGeady,1986-04-04,22.53,2016-06-09,76.0,76.0,right,66.0,68.8,75.0,79.0,64.6,67.4,34.7,10.0
Airam Cabrera,1987-10-21,23.99,2016-01-28,63.0,63.0,left,59.0,57.6,55.0,64.2,66.8,58.2,20.0,9.6
Aissa Laidouni,1996-12-13,21.84,2016-04-07,59.0,65.0,right,32.0,42.6,44.2,65.6,49.8,48.6,61.0,12.2
Aissa Mandi,1991-10-22,23.33,2016-04-07,77.0,80.0,right,49.0,62.8,65.2,71.6,64.4,65.6,77.7,12.8
Aiyegbeni Yakubu,1982-11-22,24.82,2016-05-12,69.0,69.0,right,69.0,65.0,60.2,51.0,61.8,60.4,26.3,9.4
Akaki Gogia,1992-01-18,23.1,2016-01-21,68.0,73.0,right,52.0,61.2,67.4,75.4,61.2,52.4,24.7,11.6
Alaeddine Yahia,1981-09-26,22.98,2016-02-25,70.0,70.0,right,47.0,53.6,49.6,50.2,63.2,55.6,69.0,13.8
Alain Nef,1982-02-06,24.25,2016-03-10,64.0,64.0,right,33.0,42.6,38.0,36.6,53.2,47.8,64.0,11.0
Alain Traore,1988-12-31,23.78,2016-04-28,70.0,70.0,left,78.0,68.6,75.2,72.4,65.2,63.2,55.0,12.4
Alan Hutton,1984-11-30,21.24,2016-03-10,73.0,73.0,right,47.0,55.2,64.2,66.0,68.4,66.4,77.7,11.8
Alan Kardec,1989-01-12,22.6,2016-04-07,76.0,76.0,right,65.0,70.8,63.0,63.2,69.2,59.4,24.7,10.8
Alan Mannus,1982-05-19,26.06,2016-04-21,68.0,68.0,right,12.0,12.0,19.0,48.4,36.6,26.8,15.3,68.2
Alan Martin,1989-01-01,22.38,2016-01-21,60.0,61.0,left,12.0,17.0,14.8,59.2,40.8,26.0,14.0,62.2
Alan Schons,1993-05-24,22.73,2016-04-21,66.0,72.0,right,67.0,61.4,67.0,65.4,64.6,63.6,61.3,9.0
Alan Smith,1980-10-28,24.97,2016-03-03,63.0,63.0,right,57.0,65.0,59.0,58.4,68.2,70.2,61.0,12.0
Alan Uryga,1994-02-19,23.37,2016-04-28,61.0,70.0,right,52.0,52.6,49.2,49.4,67.4,53.4,62.3,12.0
Alan,1979-09-19,21.48,2016-03-24,74.0,74.0,right,76.0,69.8,80.2,65.6,68.6,70.4,48.3,12.4
Alassane Plea,1993-03-10,24.27,2016-04-14,75.0,82.0,right,78.0,75.6,73.2,76.0,72.0,60.2,34.7,13.8
Alassane Tambe,1992-01-26,21.84,2016-04-21,66.0,71.0,right,39.0,48.8,49.0,69.2,62.4,50.4,66.7,11.0
Alassane Toure,1989-02-09,21.84,2016-04-21,67.0,67.0,right,14.0,45.2,45.6,69.6,50.6,48.8,70.0,12.6
Alban Lafont,1999-01-23,20.69,2016-03-10,70.0,86.0,right,9.0,18.6,17.4,34.2,43.4,25.0,10.3,71.0
Alban Meha,1986-04-26,24.81,2016-03-10,74.0,74.0,right,84.0,66.0,79.6,74.4,72.4,60.6,52.0,12.2
Alban Pnishi,1990-10-20,22.98,2016-03-10,63.0,67.0,right,22.0,40.2,41.6,62.2,55.0,46.0,64.0,11.6
Albert Meyong Ze,1980-10-19,21.29,2016-04-14,72.0,72.0,right,68.0,68.2,68.8,65.8,69.4,63.2,42.7,8.0
Albert Rafetraniaina,1996-09-09,21.12,2016-02-25,62.0,72.0,right,31.0,49.4,48.2,71.6,52.2,56.2,62.3,13.2
Albert Rusnak,1994-07-07,19.94,2016-03-24,73.0,80.0,right,73.0,64.0,74.2,78.0,63.6,55.8,35.7,10.6
Alberto Aquilani,1984-07-07,22.96,2016-04-14,77.0,77.0,right,81.0,74.8,80.6,64.0,70.2,70.8,59.0,11.2
Alberto Botia,1989-01-27,22.6,2016-04-21,74.0,75.0,right,46.0,56.0,54.8,57.2,70.0,56.6,74.7,11.4
Alberto Bueno,1988-03-20,20.23,2016-04-07,76.0,76.0,right,80.0,71.8,74.4,75.4,64.8,60.4,34.7,10.2
Alberto De la Bella,1985-12-02,24.55,2016-03-24,77.0,77.0,left,71.0,58.0,67.0,74.4,69.8,63.4,77.0,10.4
Alberto Garcia,1985-02-09,23.06,2016-03-24,67.0,67.0,right,21.0,21.6,20.0,61.8,43.4,25.0,10.7,67.0
Alberto Gilardino,1982-07-05,23.6,2016-05-05,74.0,74.0,right,57.0,71.8,61.0,64.8,68.4,57.2,24.3,8.6
Alberto Grassi,1995-03-07,22.38,2016-04-21,70.0,79.0,right,64.0,63.2,67.6,69.8,65.0,67.2,63.3,9.8
Alberto Guitian,1990-07-29,22.11,2016-04-28,68.0,72.0,right,37.0,47.8,52.4,64.4,61.8,56.2,67.0,11.6
Alberto Lopo,1980-05-05,23.62,2016-04-14,72.0,72.0,right,48.0,55.6,47.4,50.2,63.6,58.6,71.7,11.2
Alberto Moreno,1992-07-05,22.4,2016-04-14,77.0,82.0,left,70.0,64.2,64.2,84.2,73.4,65.8,74.0,10.8
Alberto Paloschi,1990-01-04,23.87,2016-03-10,77.0,79.0,right,41.0,71.0,59.8,76.8,72.0,65.6,14.7,11.6
Alberto Pelagotti,1989-03-09,23.24,2016-05-05,67.0,67.0,right,14.0,13.2,13.2,43.8,41.8,21.8,15.3,66.8
Alberto Pomini,1981-03-17,23.5,2016-04-07,65.0,65.0,right,11.0,15.2,18.2,47.2,39.4,24.2,14.0,64.0
Alberto Rodriguez,1984-03-31,21.29,2016-03-17,72.0,72.0,right,42.0,53.0,45.4,64.4,54.0,55.0,71.7,11.8
Alberto Zapater,1985-06-13,25.24,2016-03-03,72.0,72.0,right,73.0,65.0,70.0,63.0,72.6,71.2,71.7,11.0
Albian Ajeti,1997-02-26,23.06,2016-01-14,64.0,71.0,right,56.0,59.0,49.8,67.4,66.8,45.2,18.3,11.2
Albion Avdijaj,1994-01-12,22.0,2016-03-03,54.0,61.0,right,42.0,49.6,34.4,51.8,56.8,46.8,22.7,9.2
Aldin Turkes,1996-04-22,20.08,2016-03-10,54.0,65.0,right,49.0,46.6,39.4,53.4,57.0,42.0,15.3,11.2
Aldo Kalulu,1996-01-21,20.97,2016-03-31,66.0,80.0,right,59.0,59.0,56.0,86.4,64.8,48.2,17.7,9.2
Aleandro Rosi,1987-05-17,23.87,2016-05-05,70.0,70.0,right,65.0,57.8,64.2,71.2,72.0,60.8,66.7,9.4
Aleix Vidal,1989-08-21,21.81,2016-04-21,79.0,81.0,right,61.0,65.2,69.0,83.6,77.0,70.2,69.0,9.4
Alejandro Alfaro,1986-11-23,23.78,2016-04-28,71.0,71.0,right,68.0,65.2,71.4,74.8,64.6,61.6,31.7,9.4
Alejandro Arribas,1989-05-01,22.11,2016-05-12,75.0,76.0,right,15.0,51.0,49.4,60.6,57.4,52.6,75.3,11.8
Alejandro Bedoya,1987-04-29,23.1,2016-04-28,75.0,75.0,right,78.0,72.8,66.4,73.4,77.4,67.2,53.7,9.4
Alejandro Bergantinos,1985-06-07,23.1,2016-02-25,74.0,74.0,right,51.0,50.4,60.8,62.4,68.8,67.4,72.3,11.0
Alejandro Daro Gomez,1988-02-15,24.96,2016-05-05,78.0,78.0,right,76.0,64.8,73.8,87.6,68.4,62.0,29.3,9.2
Alejandro Faurlin,1986-08-09,22.96,2016-04-21,74.0,74.0,left,67.0,67.0,71.6,68.6,70.4,71.2,70.7,10.8
Alejandro Galvez,1989-06-06,21.75,2016-04-28,73.0,74.0,right,36.0,49.8,56.0,55.2,56.6,60.4,74.7,9.2
Alejandro Gonzalez,1988-03-23,23.6,2016-05-19,71.0,71.0,right,13.0,37.0,40.6,61.6,54.8,44.4,73.3,9.0
Alejandro Grimaldo Garcia,1995-09-20,23.18,2016-04-14,70.0,80.0,left,68.0,53.6,66.8,76.6,68.2,60.2,68.0,10.0
Alejandro Pozuelo,1991-09-20,21.77,2016-05-19,72.0,75.0,right,58.0,57.6,69.6,75.8,64.2,67.8,51.7,10.0
Aleksandar Bjelica,1994-01-07,23.22,2016-03-24,65.0,72.0,left,55.0,49.6,45.6,56.0,66.0,47.2,65.3,12.0
Aleksandar Cavric,1994-05-18,22.16,2016-04-28,67.0,77.0,right,59.0,61.4,61.2,68.2,63.4,49.6,20.7,11.4
Aleksandar Ignjovski,1991-01-27,22.74,2016-04-28,73.0,76.0,right,56.0,56.8,65.2,74.6,65.6,64.4,76.3,9.2
Aleksandar Kolarov,1985-11-10,23.5,2016-02-04,78.0,78.0,left,80.0,70.8,79.0,67.2,80.8,76.6,80.0,12.2
Aleksandar Kovacevic,1992-01-09,23.42,2016-05-12,63.0,66.0,right,38.0,48.2,51.6,68.0,59.0,56.2,59.0,11.4
Aleksandar Mitrovic,1994-09-16,23.24,2016-03-17,76.0,83.0,right,68.0,69.2,54.6,61.8,75.0,57.8,17.0,10.6
Aleksandar Pesic,1992-05-21,24.0,2016-03-31,72.0,75.0,right,65.0,68.6,60.8,63.8,74.2,62.6,43.0,12.0
Aleksandar Prijovic,1990-04-21,23.37,2016-04-21,71.0,73.0,right,63.0,60.4,60.0,61.8,68.6,55.4,31.3,10.4
Aleksandar Todorovski,1984-02-26,22.45,2016-01-21,65.0,65.0,right,37.0,51.6,49.4,69.8,63.0,48.2,66.7,12.4
Aleksandar Tonev,1990-02-03,21.81,2016-05-12,67.0,67.0,right,74.0,60.8,66.4,79.4,73.0,49.4,40.7,10.2
Aleksandar Trajkovski,1992-09-05,23.1,2016-05-05,67.0,72.0,right,68.0,65.4,65.6,69.6,64.8,52.4,16.7,12.0
Aleksander Kwiek,1983-01-13,25.7,2016-04-14,62.0,62.0,right,68.0,60.8,60.2,64.2,69.2,63.6,58.3,11.6
Aleksandr Hleb,1981-05-01,21.24,2016-04-28,73.0,73.0,right,66.0,64.8,74.6,66.0,59.4,60.2,28.7,9.0
Alen Halilovic,1996-06-18,22.4,2016-04-28,77.0,90.0,left,72.0,58.6,75.2,81.2,62.6,65.2,49.7,12.0
Alesandro Cordaro,1986-05-02,23.49,2016-04-21,69.0,69.0,right,63.0,60.0,64.8,77.4,67.6,57.0,26.7,10.6
Alessandro Bernardini,1987-01-21,20.67,2016-05-05,69.0,69.0,right,49.0,44.2,40.4,57.0,65.2,46.8,70.3,9.4
Alessandro Budel,1981-02-25,24.55,2016-02-11,67.0,67.0,left,69.0,60.0,62.6,55.8,68.4,60.8,69.7,10.2
Alessandro Cerigioni,1992-09-30,22.81,2016-04-21,65.0,69.0,right,66.0,61.2,61.8,70.8,62.8,49.4,16.7,10.8
Alessandro Crescenzi,1991-09-25,23.18,2016-04-28,65.0,71.0,right,30.0,49.6,53.0,71.0,64.8,48.0,63.3,10.0
Alessandro Damen,1990-05-17,24.14,2016-05-19,64.0,66.0,right,19.0,19.4,23.6,51.4,47.2,26.4,16.3,64.2
